poiid,title,address,lon,lat,category,checkin_user_num,city,checkin_num,checkin_ave
B2094655D664A4F9419C,国关购物中心,,118.654,31.9225,商场,7,0025,7,1
B2094655D664A4F9419D,机关食堂西部面点王,振兴路81号,118.654,31.9224,特色／地方风味餐厅,4,0025,9,2.25
B2094655D664A4F94299,国关教学餐厅,,118.657,31.923,中餐厅,5,0025,5,1
B2094655D664A4F94799,桃源酒楼(振兴路),正达公寓南,118.649,31.9235,江苏菜,1,0025,1,1
B2094655D664A4F9499A,南京雨花台区西善桥街道福润雅居,白下区福润雅居(近龙西路),118.733,31.95,快餐厅,456,0025,1150,2.521929824
B2094655D664A4F9499D,泰山公寓,西善桥泰山公寓,118.727,31.9491,住宅区,12,0025,50,4.166666666
B2094655D664A4F9499E,天虹山庄,铁心桥-外秦淮河畔,118.729,31.9486,住宅区,33,0025,455,13.787878787
B2094655D664A4FA449E,江村农俗园,果园路,118.687,31.996,江苏菜,5,0025,5,1
B2094655D664A4FB419A,乾元浩生物股份有限公司南京生物药厂,中华门外小行里51号,118.748,31.9849,公司,3,0025,3,1
B2094655D664A4FB489E,南京建工集团有限公司,,118.747,31.9782,公司,21,0025,29,1.38095238
B2094655D664A4FC4499,南京市板桥中学,雨花台区板桥街道宁谷路106号,118.665,31.9179,中学,30,0025,37,1.233333333
B2094655D664A4FC469A,钟山驾驶员培训学校,,118.754,31.9457,驾校,8,0025,9,1.125
B2094655D664A4FC469F,韩府山庄(东门),,118.754,31.9429,大门,2,0025,3,1.5
B2094655D664A4FC479D,李记小吃,,118.753,31.936,快餐厅,2,0025,2,1
B2094655D664A4FC499C,韩府山庄(西门),,118.752,31.943,大门,41,0025,105,2.560975609
B2094655D664A4FD429B,秦淮新寓,西善桥62号,118.722,31.9494,住宅区,7,0025,14,2
B2094655D664A4FD4499,老南京水西门鸭子店,泰山南路,118.724,31.953,快餐厅,2,0025,4,2
B2094655D664A4FD449E,正宗徐州侉子全羊馆,,118.724,31.953,中餐厅,3,0025,4,1.333333333
B2094655D664A4FD459B,梅岭面馆,建邺区油坊桥地铁站(近莲花北苑),118.721,31.9665,特色／地方风味餐厅,3,0025,4,1.333333333
